"Age_yrs_b2k" "norm_units"
21175 -0.36
21200 -0.112
21225 -0.358
21250 -0.368
21275 -0.336
21300 -0.195
21325 -0.185
21350 -0.301
21375 -0.495
21400 -0.534
21425 -0.321
21450 -0.348
21475 -0.314
21500 -0.517
21525 -0.638
21550 -0.51
21575 -0.538
21600 -0.15
21625 -0.03
21650 -0.384
21675 -0.382
21700 -0.148
21725 -0.361
21750 -0.48
21775 -0.628
21800 -0.51
21825 -0.392
21850 -0.298
21875 -0.119
21900 -0.028
21925 -0.122
21950 -0.28
21975 -0.323
22000 -0.197
22025 -0.403
22050 -0.578
22075 -0.201
22100 -0.2
22125 -0.248
22150 -0.41
22175 -0.246
22200 -0.155
22225 -0.104
22250 -0.183
22275 -0.127
22300 -0.087
22325 -0.071
22350 -0.318
22375 -0.403
22400 -0.51
22425 -0.536
22450 -0.336
22475 -0.3
22500 -0.283
22525 -0.178
22550 -0.192
22575 -0.241
22600 -0.212
22625 -0.076
22650 -0.2
22675 -0.386
22700 -0.65
22725 -0.311
22750 -0.001
22775 0.151
22800 -0.187
22825 -0.237
22850 -0.33
22875 -0.112
22900 -0.102
22925 0.06
22950 0.284
22975 0.469
23000 0.261
23025 0.1
23050 -0.203
23075 -0.197
23100 -0.33
23125 -0.336
23150 -0.457
23175 -0.307
23200 -0.357
23225 -0.225
23250 -0.071
23275 0.146
23300 0.456
23325 0.599
23350 0.605
23375 0.275
23400 0.11
23425 0.305
23450 -0.069
23475 -0.334
23500 -0.338
23525 -0.178
23550 -0.351
23575 -0.397
23600 -0.398
23625 -0.31
23650 -0.314
23675 -0.59
23700 -0.738
23725 -0.733
23750 -0.561
23775 -0.28
23800 -0.41
23825 -0.414
23850 -0.587
23875 -1
23900 -0.719
23925 -0.548
23950 -0.473
23975 -0.511
24000 -0.491
24025 -0.495
24050 -0.542
24075 -0.691
24100 -0.819
24125 -0.632
24150 -0.217
24175 -0.347
24200 -0.402
24225 -0.425
24250 -0.417
24275 -0.27
24300 -0.193
24325 -0.163
24350 -0.141
24375 -0.124
24400 -0.165
24425 -0.247
24450 -0.281
24475 -0.288
24500 -0.132
24525 0.146
24550 -0.091
24575 -0.238
24600 -0.181
24625 0.169
24650 -0.409
24675 -0.53
24700 -0.375
24725 -0.265
24750 -0.021
24775 0.074
24800 -0.023
24825 -0.375
24850 -0.39
24875 -0.356
24900 -0.361
24925 -0.159
24950 -0.091
24975 -0.115
25000 -0.186
25025 0.129
25050 0.264
25075 0.202
25100 0.065
25125 -0.042
25150 -0.134
25175 -0.257
25200 -0.31
25225 -0.275
25250 -0.08
25275 -0.208
25300 -0.313
25325 -0.331
25350 -0.226
25375 -0.254
25400 -0.347
25425 -0.015
25450 -0.01
25475 -0.182
25500 -0.337
25525 -0.203
25550 -0.15
25575 -0.483
25600 -0.462
25625 -0.46
25650 -0.545
25675 -0.513
25700 -0.598
25725 -0.735
25750 -0.33
25775 -0.339
25800 -0.477
25825 -0.286
25850 -0.131
25875 -0.109
25900 -0.334
25925 -0.241
25950 -0.166
25975 -0.185
26000 -0.234
26025 -0.212
26050 -0.119
26075 0.003
26100 -0.101
26125 -0.267
26150 -0.195
26175 -0.019
26200 0.098
26225 0.009
26250 -0.03
26275 -0.124
26300 -0.263
26325 -0.091
26350 0.071
26375 0.083
26400 -0.094
26425 -0.406
26450 -0.366
26475 -0.24
26500 -0.103
26525 -0.029
26550 -0.243
26575 -0.305
26600 -0.196
26625 -0.215
26650 -0.009
26675 0.103
26700 0.002
26725 -0.428
26750 -0.327
26775 -0.133
26800 -0.113
26825 -0.152
26850 -0.174
26875 -0.172
26900 -0.114
26925 0.028
26950 -0.179
26975 -0.426
27000 0.079
27025 0.061
27050 -0.125
27075 -0.353
27100 -0.295
27125 -0.062
27150 0.129
27175 0.188
27200 0.097
27225 0.097
27250 -0.002
27275 -0.334
27300 -0.369
27325 -0.163
27350 0.006
27375 -0.218
27400 -0.317
27425 -0.324
27450 -0.193
27475 0.178
27500 0.049
27525 0.113
27550 0.45
27575 0.856
27600 0.486
27625 0.68
27650 0.691
27675 0.509
27700 0.583
27725 0.867
27750 1
27775 0.917
27800 0.286
27825 0.017
27850 -0.075
27875 -0.145
27900 -0.148
27925 0.079
27950 -0.003
27975 -0.219
28000 -0.152
28025 -0.228
28050 -0.423
28075 -0.311
28100 -0.345
28125 -0.56
28150 -0.197
28175 -0.033
28200 -0.261
28225 -0.257
28250 -0.221
28275 -0.222
28300 -0.081
28325 0.041
28350 -0.023
28375 -0.125
28400 -0.233
28425 -0.319
28450 -0.346
28475 -0.327
28500 -0.197
28525 -0.131
28550 -0.194
28575 0.237
28600 0.555
28625 0.333
28650 0.651
28675 0.749
28700 0.611
28725 0.724
28750 0.474
28775 0.84
28800 0.822
28825 0.618
28850 0.656
28875 0.758
28900 0.742
28925 0.492
28950 0.031
28975 -0.214
29000 -0.223
29025 -0.252
29050 -0.276
29075 -0.127
29100 -0.033
29125 0.021
29150 -0.134
29175 -0.318
29200 -0.204
29225 -0.115
29250 -0.085
29275 -0.001
29300 0.156
29325 -0.037
29350 -0.401
29375 -0.341
29400 -0.218
29425 -0.164
29450 -0.192
29475 -0.448
29500 -0.474
29525 -0.265
29550 -0.198
29575 -0.2
29600 -0.299
29625 -0.374
29650 -0.091
29675 -0.013
29700 -0.382
29725 -0.501
29750 -0.399
29775 -0.424
29800 -0.48
29825 -0.554
29850 -0.537
29875 -0.28
29900 -0.224
29925 -0.37
29950 -0.555
29975 -0.758
30000 -0.417
30025 -0.198
30050 -0.383
30075 -0.361
30100 -0.101
30125 -0.143
30150 -0.299
30175 -0.253
30200 -0.223
30225 -0.311
30250 -0.434
30275 -0.609
30300 -0.574
30325 -0.447
30350 -0.343
30375 -0.259
30400 -0.243
30425 -0.266
30450 -0.336
30475 -0.299
30500 -0.197
30525 -0.329
30550 -0.457
30575 -0.402
30600 -0.315
30625 -0.186
30650 -0.052
30675 0.066
30700 0.103
30725 0.075
30750 0.069
30775 0.201
30800 0.01
30825 -0.272
30850 -0.418
30875 -0.303
30900 -0.083
30925 -0.232
30950 -0.342
30975 -0.425
31000 -0.44
31025 -0.435
31050 -0.401
31075 -0.341
31100 -0.236
31125 -0.074
31150 -0.241
31175 -0.409
31200 -0.424
31225 -0.306
31250 -0.148
31275 -0.02
31300 -0.196
31325 -0.466
31350 -0.334
31375 -0.359
31400 -0.475
31425 -0.27
31450 -0.184
31475 -0.249
31500 -0.31
31525 -0.372
31550 -0.42
31575 -0.471
31600 -0.511
31625 -0.481
31650 -0.5
31675 -0.568
31700 -0.39
31725 -0.292
31750 -0.291
31775 -0.337
31800 -0.28
31825 -0.022
31850 -0.196
31875 -0.384
31900 -0.22
31925 -0.216
31950 -0.249
31975 -0.089
32000 -0.03
32025 -0.047
32050 -0.028
32075 0.038
32100 -0.005
32125 -0.052
32150 0.105
32175 0.351
32200 0.439
32225 0.35
32250 0.369
32275 0.44
32300 0.486
32325 0.442
32350 0.381
32375 0.493
32400 0.397
32425 0.476
32450 0.496
32475 0.635
32500 0.436
32525 0.138
32550 -0.141
32575 -0.303
32600 -0.199
32625 -0.085
32650 -0.137
32675 -0.287
32700 -0.323
32725 -0.225
32750 -0.295
32775 -0.304
32800 -0.265
32825 -0.214
32850 -0.334
32875 -0.45
32900 -0.431
32925 -0.385
32950 -0.339
32975 -0.322
33000 -0.64
33025 -0.677
33050 -0.538
33075 -0.416
33100 -0.21
33125 -0.109
33150 -0.249
33175 -0.394
33200 -0.354
33225 -0.143
33250 -0.196
33275 -0.129
33300 0.014
33325 0.153
33350 0.199
33375 0.226
33400 0.28
33425 0.232
33450 0.259
33475 0.362
33500 0.451
33525 0.389
33550 0.286
33575 0.319
33600 0.27
33625 0.264
33650 0.392
33675 0.578
33700 0.726
33725 0.691
33750 0.593
33775 0.418
33800 0.153
33825 -0.113
33850 -0.315
33875 -0.334
33900 -0.241
33925 -0.291
33950 -0.337
33975 -0.387
34000 -0.323
34025 -0.23
34050 -0.119
34075 -0.15
34100 -0.29
34125 -0.098
34150 -0.007
34175 -0.198
34200 -0.319
34225 -0.405
34250 -0.373
34275 -0.3
34300 -0.173
34325 -0.215
34350 -0.255
34375 -0.241
34400 -0.321
34425 -0.403
34450 -0.338
34475 -0.255
34500 -0.174
34525 -0.291
34550 -0.249
34575 -0.074
34600 -0.293
34625 -0.389
34650 -0.21
34675 -0.254
34700 -0.419
34725 -0.324
34750 -0.025
34775 0.14
34800 0.183
34825 0.279
34850 0.162
34875 0.114
34900 0.071
34925 0.029
34950 -0.032
34975 0.066
35000 0.18
35025 0.232
35050 0.188
35075 0.516
35100 0.515
35125 0.29
35150 0.374
35175 0.515
35200 0.55
35225 0.456
35250 0.489
35275 0.406
35300 0.375
35325 0.375
35350 0.618
35375 0.647
35400 0.322
35425 0.665
35450 0.489
35475 0.325
35500 0.2
35525 -0.021
35550 -0.403
35575 -0.461
35600 -0.442
35625 -0.318
35650 -0.24
35675 -0.201
35700 -0.268
35725 -0.369
35750 -0.315
35775 -0.277
35800 -0.304
35825 -0.34
35850 -0.381
35875 -0.403
35900 -0.402
35925 -0.458
35950 -0.527
35975 -0.745
36000 -0.9
36025 -0.637
36050 -0.445
36075 -0.406
36100 -0.334
36125 -0.239
36150 -0.251
36175 -0.31
36200 -0.365
36225 -0.411
36250 -0.34
36275 -0.348
36300 -0.529
36325 -0.569
36350 -0.457
36375 -0.472
36400 -0.541
36425 -0.491
36450 -0.418
36475 -0.309
36500 -0.256
36525 -0.372
36550 -0.389
36575 -0.309
36600 -0.199
36625 -0.103
36650 -0.002
36675 0.125
36700 -0.003
36725 0.087
36750 0.294
36775 0.262
36800 0.118
36825 0.202
36850 0.158
36875 -0.022
36900 -0.141
36925 -0.16
36950 -0.21
36975 0.119
37000 0.131
37025 -0.033
37050 -0.086
37075 0.028
37100 0.093
37125 0.026
37150 0.193
37175 0.127
37200 0.37
37225 0.222
37250 0.243
37275 0.308
37300 0.26
37325 0.436
37350 0.219
37375 0.23
37400 0.227
37425 0.249
37450 0.246
37475 0.351
37500 0.297
37525 0.412
37550 0.445
37575 0.283
37600 0.281
37625 0.423
37650 0.382
37675 0.324
37700 0.282
37725 0.154
37750 0.42
37775 0.528
37800 0.392
37825 0.533
37850 0.46
37875 0.414
37900 0.415
37925 0.471
37950 0.476
