"Age_yrs_b2k" "norm_units" "error"
40900 0.028 0.15
40925 0.017 0.15
40950 0.015 0.148
40975 0.018 0.145
41000 0.008 0.147
41025 0.01 0.152
41050 0.015 0.148
41075 0.01 0.145
41100 -0.004 0.14
41125 -0.011 0.145
41150 -0.013 0.14
41175 -0.011 0.141
41200 -0.024 0.138
41225 -0.034 0.135
41250 -0.032 0.13
41275 -0.041 0.126
41300 -0.057 0.13
41325 -0.059 0.125
41350 -0.064 0.119
41375 -0.073 0.115
41400 -0.078 0.118
41425 -0.079 0.113
41450 -0.085 0.111
41475 -0.084 0.112
41500 -0.085 0.107
41525 -0.089 0.11
41550 -0.089 0.114
41575 -0.086 0.109
41600 -0.078 0.113
41625 -0.074 0.11
41650 -0.072 0.111
41675 -0.074 0.11
41700 -0.071 0.111
41725 -0.068 0.12
41750 -0.066 0.125
41775 -0.063 0.122
41800 -0.054 0.121
41825 -0.051 0.122
41850 -0.042 0.125
41875 -0.041 0.127
41900 -0.036 0.127
41925 -0.025 0.129
41950 -0.016 0.133
41975 -0.006 0.127
42000 0.004 0.131
42025 0.022 0.13
42050 0.033 0.13
42075 0.056 0.129
42100 0.077 0.127
42125 0.11 0.118
42150 0.105 0.126
42175 0.104 0.132
42200 0.101 0.136
42225 0.095 0.14
42250 0.088 0.147
42275 0.087 0.154
42300 0.084 0.16
42325 0.084 0.163
42350 0.074 0.165
42375 0.074 0.17
42400 0.067 0.17
42425 0.064 0.17
42450 0.054 0.172
42475 0.059 0.174
42500 0.047 0.177
42525 0.052 0.181
42550 0.046 0.18
42575 0.043 0.185
42600 0.042 0.183
42625 0.042 0.184
42650 0.044 0.183
42675 0.042 0.183
42700 0.045 0.184
42725 0.044 0.184
42750 0.053 0.183
42775 0.051 0.188
42800 0.058 0.188
42825 0.071 0.186
42850 0.08 0.185
42875 0.092 0.187
42900 0.101 0.183
42925 0.109 0.18
42950 0.118 0.176
42975 0.131 0.169
43000 0.135 0.157
43025 0.138 0.148
43050 0.141 0.136
43075 0.143 0.12
43100 0.144 0.098
43125 0.147 0.085
43150 0.143 0.08
43175 0.134 0.077
43200 0.121 0.076
43225 0.111 0.076
43250 0.104 0.077
43275 0.091 0.079
43300 0.085 0.08
43325 0.081 0.079
43350 0.077 0.08
43375 0.074 0.081
43400 0.074 0.083
43425 0.071 0.086
43450 0.074 0.093
43475 0.071 0.101
43500 0.07 0.106
43525 0.069 0.111
43550 0.066 0.116
43575 0.059 0.122
43600 0.049 0.13
43625 0.045 0.135
43650 0.032 0.141
43675 0.02 0.143
43700 -0.013 0.143
43725 -0.034 0.146
43750 -0.053 0.145
43775 -0.063 0.14
43800 -0.072 0.141
43825 -0.073 0.137
43850 -0.077 0.132
43875 -0.078 0.132
43900 -0.079 0.131
43925 -0.075 0.13
43950 -0.079 0.126
43975 -0.082 0.124
44000 -0.083 0.123
44025 -0.083 0.122
44050 -0.085 0.121
44075 -0.087 0.119
44100 -0.083 0.118
44125 -0.084 0.117
44150 -0.085 0.117
44175 -0.084 0.116
44200 -0.083 0.117
44225 -0.083 0.117
44250 -0.08 0.118
44275 -0.076 0.117
44300 -0.08 0.12
44325 -0.077 0.12
44350 -0.074 0.12
44375 -0.074 0.12
44400 -0.073 0.121
44425 -0.071 0.12
44450 -0.071 0.12
44475 -0.068 0.119
44500 -0.067 0.12
44525 -0.063 0.121
44550 -0.062 0.121
44575 -0.056 0.122
44600 -0.048 0.123
44625 -0.044 0.124
44650 -0.041 0.125
44675 -0.031 0.125
44700 -0.023 0.126
44725 -0.017 0.128
44750 -0.007 0.129
44775 0.002 0.131
44800 0.015 0.131
44825 0.029 0.131
44850 0.041 0.131
44875 0.049 0.126
44900 0.061 0.123
44925 0.07 0.117
44950 0.078 0.113
44975 0.082 0.108
45000 0.082 0.102
45025 0.085 0.096
45050 0.084 0.089
45075 0.088 0.084
45100 0.087 0.08
45125 0.088 0.077
45150 0.087 0.073
45175 0.086 0.073
45200 0.082 0.072
45225 0.078 0.071
45250 0.075 0.071
45275 0.075 0.07
45300 0.066 0.069
45325 0.064 0.07
45350 0.062 0.07
45375 0.06 0.07
45400 0.058 0.069
45425 0.06 0.067
45450 0.062 0.068
45475 0.065 0.068
45500 0.069 0.067
45525 0.075 0.068
45550 0.084 0.068
45575 0.086 0.066
45600 0.09 0.064
45625 0.091 0.064
45650 0.092 0.064
45675 0.094 0.064
45700 0.094 0.064
45725 0.092 0.066
45750 0.095 0.069
45775 0.095 0.075
45800 0.102 0.081
45825 0.111 0.087
45850 0.118 0.09
45875 0.132 0.09
45900 0.143 0.092
45925 0.154 0.09
45950 0.165 0.086
45975 0.169 0.083
46000 0.173 0.081
46025 0.181 0.083
46050 0.184 0.086
46075 0.187 0.089
46100 0.199 0.091
46125 0.213 0.095
46150 0.242 0.096
46175 0.258 0.092
46200 0.27 0.09
46225 0.282 0.087
46250 0.29 0.083
46275 0.291 0.08
46300 0.292 0.078
46325 0.293 0.075
46350 0.291 0.074
46375 0.293 0.073
46400 0.29 0.073
46425 0.286 0.076
46450 0.284 0.078
46475 0.285 0.077
46500 0.285 0.08
46525 0.285 0.087
46550 0.285 0.092
46575 0.285 0.092
46600 0.284 0.093
46625 0.284 0.095
46650 0.282 0.099
46675 0.271 0.103
46700 0.259 0.107
46725 0.251 0.105
46750 0.242 0.104
46775 0.229 0.103
46800 0.217 0.094
46825 0.212 0.09
46850 0.209 0.084
46875 0.208 0.076
46900 0.207 0.075
46925 0.21 0.071
46950 0.21 0.071
46975 0.207 0.071
47000 0.202 0.072
47025 0.203 0.072
47050 0.202 0.072
47075 0.196 0.074
47100 0.191 0.078
47125 0.188 0.087
47150 0.184 0.097
47175 0.183 0.11
47200 0.18 0.123
47225 0.179 0.138
47250 0.171 0.151
47275 0.157 0.165
47300 0.136 0.176
47325 0.105 0.185
47350 0.02 0.187
47375 -0.049 0.186
47400 -0.087 0.185
47425 -0.109 0.177
47450 -0.125 0.174
47475 -0.134 0.167
47500 -0.141 0.159
47525 -0.148 0.149
47550 -0.154 0.143
47575 -0.16 0.136
47600 -0.165 0.126
47625 -0.169 0.121
47650 -0.174 0.116
47675 -0.178 0.112
47700 -0.183 0.109
47725 -0.187 0.106
47750 -0.191 0.107
47775 -0.197 0.111
47800 -0.205 0.114
47825 -0.21 0.114
47850 -0.216 0.115
47875 -0.222 0.115
47900 -0.23 0.115
47925 -0.232 0.116
47950 -0.236 0.116
47975 -0.242 0.117
48000 -0.248 0.119
48025 -0.249 0.12
48050 -0.255 0.12
48075 -0.258 0.123
48100 -0.262 0.126
48125 -0.264 0.13
48150 -0.265 0.134
48175 -0.266 0.137
48200 -0.27 0.141
48225 -0.267 0.145
48250 -0.267 0.148
48275 -0.266 0.151
48300 -0.268 0.155
48325 -0.265 0.158
48350 -0.261 0.161
48375 -0.261 0.162
48400 -0.259 0.164
48425 -0.257 0.166
48450 -0.252 0.169
48475 -0.247 0.171
48500 -0.242 0.17
48525 -0.238 0.17
48550 -0.234 0.171
48575 -0.231 0.17
48600 -0.224 0.169
48625 -0.212 0.169
48650 -0.206 0.17
48675 -0.193 0.171
48700 -0.187 0.169
48725 -0.176 0.168
48750 -0.165 0.169
48775 -0.154 0.165
48800 -0.143 0.162
48825 -0.129 0.157
48850 -0.121 0.153
48875 -0.11 0.151
48900 -0.098 0.148
48925 -0.084 0.145
48950 -0.073 0.141
48975 -0.06 0.137
49000 -0.047 0.131
49025 -0.023 0.128
49050 0.003 0.124
49075 0.032 0.122
49100 0.048 0.119
49125 0.064 0.117
49150 0.077 0.114
49175 0.088 0.111
49200 0.095 0.108
49225 0.1 0.105
49250 0.11 0.104
49275 0.119 0.103
49300 0.125 0.101
49325 0.135 0.1
49350 0.141 0.1
49375 0.149 0.097
49400 0.157 0.097
49425 0.166 0.097
49450 0.171 0.098
49475 0.177 0.098
49500 0.187 0.099
49525 0.195 0.1
49550 0.2 0.102
49575 0.208 0.104
49600 0.218 0.106
49625 0.224 0.109
49650 0.231 0.111
49675 0.238 0.113
49700 0.245 0.116
49725 0.256 0.115
49750 0.261 0.118
49775 0.268 0.12
49800 0.275 0.121
49825 0.283 0.123
49850 0.292 0.125
49875 0.296 0.128
49900 0.303 0.129
49925 0.31 0.132
49950 0.315 0.136
49975 0.32 0.137
50000 0.32 0.14
