"Age_yrs_b2k" "norm_units" "error"
17550 0.114 0.147
17575 0.082 0.142
17600 0.051 0.135
17625 0.031 0.127
17650 0.029 0.118
17675 0.029 0.111
17700 0.014 0.104
17725 0.01 0.109
17750 0.008 0.118
17775 0.008 0.124
17800 0.036 0.128
17825 0.066 0.133
17850 0.1 0.139
17875 0.125 0.145
17900 0.169 0.153
17925 0.231 0.151
17950 0.261 0.139
17975 0.285 0.129
18000 0.304 0.123
18025 0.304 0.116
18050 0.3 0.112
18075 0.308 0.105
18100 0.306 0.104
18125 0.314 0.106
18150 0.33 0.107
18175 0.331 0.11
18200 0.335 0.11
18225 0.328 0.114
18250 0.314 0.115
18275 0.3 0.112
18300 0.279 0.108
18325 0.278 0.104
18350 0.275 0.101
18375 0.282 0.102
18400 0.279 0.101
18425 0.268 0.102
18450 0.255 0.102
18475 0.25 0.1
18500 0.261 0.108
18525 0.29 0.109
18550 0.31 0.106
18575 0.33 0.101
18600 0.346 0.107
18625 0.362 0.121
18650 0.378 0.137
18675 0.368 0.159
18700 0.368 0.199
18725 0.391 0.227
18750 0.477 0.24
18775 0.591 0.23
18800 0.593 0.212
18825 0.567 0.207
18850 0.479 0.205
18875 0.409 0.198
18900 0.367 0.181
18925 0.363 0.174
18950 0.4 0.169
18975 0.449 0.159
19000 0.476 0.14
19025 0.378 0.149
19050 0.312 0.117
19075 0.305 0.098
19100 0.296 0.093
19125 0.283 0.091
19150 0.273 0.092
19175 0.263 0.093
19200 0.259 0.088
19225 0.263 0.091
19250 0.261 0.094
19275 0.264 0.098
19300 0.266 0.103
19325 0.271 0.109
19350 0.278 0.115
19375 0.293 0.121
19400 0.32 0.129
19425 0.29 0.14
19450 0.238 0.123
19475 0.229 0.111
19500 0.226 0.105
19525 0.239 0.103
19550 0.245 0.102
19575 0.235 0.105
19600 0.226 0.112
19625 0.218 0.117
19650 0.194 0.12
19675 0.173 0.12
19700 0.167 0.12
19725 0.172 0.115
19750 0.185 0.113
19775 0.186 0.111
19800 0.183 0.11
19825 0.178 0.11
19850 0.168 0.11
19875 0.161 0.116
19900 0.14 0.124
19925 0.126 0.126
19950 0.103 0.131
19975 0.076 0.137
20000 0.04 0.138
20025 0.011 0.136
20050 -0.015 0.134
20075 -0.039 0.131
20100 -0.05 0.123
20125 -0.058 0.115
20150 -0.059 0.102
20175 -0.057 0.094
20200 -0.055 0.087
20225 -0.052 0.082
20250 -0.048 0.076
20275 -0.044 0.073
20300 -0.041 0.072
20325 -0.039 0.072
20350 -0.044 0.072
20375 -0.052 0.073
20400 -0.06 0.071
20425 -0.063 0.068
20450 -0.066 0.065
20475 -0.065 0.063
20500 -0.062 0.064
20525 -0.055 0.064
20550 -0.048 0.065
20575 -0.034 0.07
20600 -0.021 0.074
20625 -0.001 0.072
20650 0.013 0.07
20675 0.021 0.069
20700 0.026 0.071
20725 0.024 0.078
20750 0.014 0.082
20775 -0.009 0.088
20800 -0.031 0.091
20825 -0.051 0.09
20850 -0.062 0.087
20875 -0.06 0.083
20900 -0.05 0.078
20925 -0.042 0.076
20950 -0.042 0.075
20975 -0.049 0.078
21000 -0.047 0.078
21025 -0.037 0.082
21050 -0.019 0.081
21075 -0.002 0.074
21100 0.01 0.067
21125 0.014 0.059
